Station Ids,STATION NAME,Location,STIPEND (UG),STIPEND (PG),SCHOLARSHIP,No Of Project,REQD DISCIPLINES
446,Grey Orange Robotics Pvt. Ltd.(New Delhi),New Delhi,18000,0,0,1,"A4 , A7"
447,Halliburton Technology Center(Pune),Pune,12000,0,0,1,"H101 , H132"
448,Healthcare Technology Innovation Centre (HITC)(Chennai),Chennai,10000,0,0,1,"A3 , A7 , A8 , Any"
692,Hedgequants(Kolkata),Kolkata,30000,0,0,1,A7
544,Here Maps - A Nokia Company(Mumbai),Mumbai,20000,0,0,1,"A3 , A7 , A8 , AA , Any , C6 , H103 , H112"
450,HILTI India Pvt. Ltd.(Bangalore),Bangalore,15000,0,0,1,Any
452,HILTI India Pvt. Ltd.(New Delhi),New Delhi,15000,0,0,2,"A2 , A3 , A4"
647,Hindustan Unilever Research Centre(Bangalore),Bangalore,8000,0,0,8,"A1 , B2"
46,Hindustan Zinc Ltd.(Chittorgarh),Chittorgarh,6000,0,0,0,-
453,Histogenetics(Chennai),Chennai,0,0,0,0,-
707,HMX(HYDERABAD),HYDERABAD,20000,0,0,1,H148
455,Hourglass Research(Mumbai),Mumbai,15000,0,0,1,"A3 , A7 , A8 , Any , C6"
731,Housing.com(Mumbai),Mumbai,50000,0,0,1,A2
773,HP India(Bangalore),Bangalore,15500,0,0,1,"A3 , A7 , AA , C6"
718,HSBC(Bangalore),Bangalore,22500,0,0,1,"B3 , C7 , H149"
460,IDeaS - SAS(Pune),Pune,25000,0,0,0,-
719,IFB Automotive Pvt. Ltd.(Bangalore),Bangalore,15000,0,0,1,"A4 , H141"
461,IFB Industries(Goa),Goa,10000,0,0,5,-
463,ILabs(Bangalore),Bangalore,30000,0,0,0,-
464,IMI Mobile(Hyderabad),Hyderabad,18000,0,0,1,Any
465,Indian Institute of Chemical Technology(Hyderabad),Hyderabad,0,0,8000,1,-
466,Indian Institute of Petroleum(Dehradun),Dehradun,2000,0,6000,2,"A1 , A4 , H129"
